BFS
D       Nodes   Branch
1
0       1       2.000000
1       2       2.000000
2       4       2.500000
3       10      2.600000
4       26      2.461539
5       64      2.500000
6       160     2.325000
7       372     2.387097
8       888     2.247748
9       1996    2.441884
10      4874    2.326221
11      11338   2.438525
12      27648   2.300781
13      63612   2.431648
14      154682  2.300029
15      355773  2.432388
16      865378  2.300495
