Input test: topspin_14_4/topspin_14_4.d=005
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        12 7 1 2 3 11 10 5 4 8 9 6 0 13         0.000017        5                       5
2        8 7 6 9 12 11 0 10 1 2 3 4 5 13         0.000037        5                       5
3        10 9 2 12 4 3 1 11 5 6 7 8 0 13         0.000019        5                       5
4        6 7 3 8 4 5 0 10 9 12 11 1 2 13         0.000015        5                       5
5        0 1 5 10 9 2 6 4 3 8 7 11 12 13         0.000023        7                       5
6        0 7 1 11 12 8 5 4 3 2 6 10 9 13         0.000013        5                       5
7        5 6 2 1 4 8 9 10 11 12 0 7 3 13         0.000031        5                       5
8        6 11 0 1 2 3 4 7 8 12 5 10 9 13         0.000014        5                       5
9        9 8 11 1 2 3 10 6 5 4 0 7 12 13         0.000013        5                       5
10       3 4 1 0 5 6 7 10 11 12 8 9 2 13         0.000015        5                       5
