Input test: topspin_14_4/topspin_14_4.d=2000
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        7 5 8 0 12 4 10 11 6 2 1 3 9 13         0.097385        25933                   13
2        10 5 9 3 2 6 1 8 11 7 4 12 0 13         0.036345        7466                    12
3        3 7 12 5 1 10 4 9 11 2 8 0 6 13         0.076330        14115                   13
4        2 12 5 4 6 10 0 8 3 1 11 7 9 13         0.012825        3240                    12
5        12 9 4 7 3 11 8 5 1 6 10 2 0 13         0.042225        7204                    12
6        9 4 11 12 5 8 6 10 0 2 3 1 7 13         0.016163        1518                    11
7        3 9 11 8 0 7 12 5 1 2 4 10 6 13         0.142142        24239                   12
8        11 3 6 10 12 8 2 7 1 9 0 5 4 13         0.023182        5923                    12
9        9 5 7 6 2 12 1 3 11 4 10 8 0 13         0.013287        1469                    12
10       3 9 2 6 0 7 10 4 5 12 1 8 11 13         0.107232        19794                   13
