Input test: topspin_14_4/topspin_14_4.d=005
Id       Instance                                Time-In-Secs   Generated Nodes         Distance
1        12 7 1 2 3 11 10 5 4 8 9 6 0 13         0.000553        173                     15
2        8 7 6 9 12 11 0 10 1 2 3 4 5 13         0.000497        147                     15
3        10 9 2 12 4 3 1 11 5 6 7 8 0 13         0.000419        147                     15
4        6 7 3 8 4 5 0 10 9 12 11 1 2 13         0.000316        109                     15
5        0 1 5 10 9 2 6 4 3 8 7 11 12 13         0.000479        150                     15
6        0 7 1 11 12 8 5 4 3 2 6 10 9 13         0.000302        110                     15
7        5 6 2 1 4 8 9 10 11 12 0 7 3 13         0.000258        91                      15
8        6 11 0 1 2 3 4 7 8 12 5 10 9 13         0.000396        132                     15
9        9 8 11 1 2 3 10 6 5 4 0 7 12 13         0.000527        188                     15
10       3 4 1 0 5 6 7 10 11 12 8 9 2 13         0.000659        258                     15
