Input test: topspin_12_4/topspin_12_4.d=2000
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        0 7 3 5 4 9 10 8 6 1 2 11       0.000192        46                      9
2        6 7 4 3 5 2 1 0 9 8 10 11       0.000020        7                       7
3        8 5 7 4 9 1 0 2 3 10 6 11       0.000696        185                     10
4        10 1 5 4 3 0 8 9 7 6 2 11       0.000383        94                      9
5        10 4 1 0 2 8 6 5 9 7 3 11       0.000155        36                      9
6        9 0 7 10 4 8 2 6 1 3 5 11       0.000468        120                     11
7        3 0 6 7 8 1 5 4 10 2 9 11       0.000017        7                       7
8        7 5 4 8 6 10 3 9 1 0 2 11       0.000018        8                       8
9        9 6 10 3 1 7 4 0 8 5 2 11       0.000125        35                      10
10       5 8 3 2 6 10 0 9 7 1 4 11       0.000042        13                      9
