Input test: topspin_12_4/topspin_12_4.d=010
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        3 4 5 10 6 0 2 8 7 9 1 11       0.000045        12                      9
2        9 8 7 2 3 4 5 6 10 1 0 11       0.000018        4                       4
3        4 8 1 9 10 0 3 5 6 7 2 11       0.000031        10                      8
4        0 10 9 8 7 5 2 1 4 3 6 11       0.000104        20                      8
5        8 9 2 6 0 5 4 10 7 3 1 11       0.000020        8                       8
6        8 1 2 7 3 0 5 4 9 10 6 11       0.000032        10                      8
7        3 2 5 4 0 8 9 1 6 7 10 11       0.000010        4                       4
8        4 3 2 7 6 5 0 9 1 10 8 11       0.000033        10                      8
9        1 3 10 9 7 8 2 6 5 4 0 11       0.000023        9                       8
10       1 9 8 7 0 6 10 5 3 4 2 11       0.000018        8                       8
