Input test: topspin_17_4/topspin_17_4.d=2000
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        9 0 1 11 4 10 7 5 14 2 3 13 8 6 15 12 16        33.946285       12038736                        15
2        7 1 14 4 2 5 15 12 9 3 8 13 10 11 6 0 16        13.757769       4557477                         15
3        7 10 4 14 9 3 1 5 0 11 13 2 8 6 12 15 16        65.826630       22841853                        15
4        4 13 2 10 0 14 11 6 3 8 15 12 7 1 5 9 16        16.139200       5357242                         15
5        12 10 6 8 15 3 2 11 14 5 13 7 9 0 1 4 16        63.823231       19992481                        15
6        3 13 4 12 14 5 10 11 1 9 6 8 15 0 7 2 16        3.951940        1559527                         15
7        2 7 8 13 14 4 9 11 3 10 1 6 5 0 12 15 16        5.074141        2161777                         15
8        1 9 0 8 2 12 3 11 6 4 15 13 7 10 14 5 16        166.365631      54968351                        16
9        13 6 2 15 5 12 9 0 1 7 8 3 14 10 4 11 16        8.316132        3284681                         15
10       2 9 11 13 0 1 5 3 4 12 14 15 8 6 10 7 16        15.097088       6061294                         15
