Input test: topspin_17_4/topspin_17_4.d=010
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        15 3 5 4 2 9 10 11 6 14 13 12 8 0 1 7 16        0.006109        2562                    10
2        2 3 13 11 0 4 5 6 7 8 9 10 14 15 12 1 16        0.000085        29                      8
3        13 12 3 0 10 11 2 14 1 4 5 6 7 8 9 15 16        0.001217        304                     9
4        9 8 12 13 14 15 2 1 0 5 11 3 7 6 4 10 16        0.006333        1896                    10
5        11 12 8 7 13 14 15 10 9 5 6 3 2 1 4 0 16        0.000768        239                     10
6        10 2 12 5 6 7 8 11 0 9 14 15 1 13 3 4 16        0.000084        22                      8
7        1 13 4 5 6 7 8 9 10 14 2 11 15 12 3 0 16        0.013634        2172                    10
8        8 0 1 2 3 4 5 13 15 7 10 11 9 6 14 12 16        0.022063        5281                    10
9        3 4 9 10 11 15 12 13 1 2 6 5 8 7 14 0 16        0.009881        1346                    10
10       0 1 3 4 9 5 2 7 6 10 11 12 13 15 14 8 16        0.048166        10309                   10
